Kick.Category,Name,Score,ClutchScore,scaled
< 20,Adam Vinatieri,0.9663107761969933,0,-0.34412466966719696
< 20,Aldrick Rosas,0.9663107761969933,0,-0.34412466966719696
< 20,Austin Seibert,0.9663107761969933,0,-0.34412466966719696
< 20,Brandon McManus,0.9663107761969933,0,-0.34412466966719696
< 20,Brett Maher,0.9663107761969933,0,-0.34412466966719696
< 20,Cairo Santos,0.9679006934165955,0.0015899172196021105,-0.12164183183454766
< 20,Chris Boswell,0.9663107761969933,0,-0.34412466966719696
< 20,Cody Parkey,0.9663107761969933,0,-0.34412466966719696
< 20,Dan Bailey,0.9663107761969933,0,-0.34412466966719696
< 20,Daniel Carlson,0.9663107761969933,0,-0.34412466966719696
< 20,Dustin Hopkins,0.9663107761969933,0,-0.34412466966719696
< 20,Graham Gano,0.9663107761969933,0,-0.34412466966719696
< 20,Greg Zuerlein,0.9663107761969933,0,-0.34412466966719696
< 20,Harrison Butker,0.9831433892250061,0.016832613028012755,2.01132344325299
< 20,Jake Elliott,0.9663107761969933,0,-0.34412466966719696
< 20,Jason Myers,0.9663107761969933,0,-0.34412466966719696
< 20,Jason Sanders,0.9847536087036133,0.018442832506619933,2.2366472492455984
< 20,Joey Slye,0.9663107761969933,0,-0.34412466966719696
< 20,Josh Lambo,0.9663107761969933,0,-0.34412466966719696
< 20,Justin Tucker,0.9663107761969933,0,-0.34412466966719696
< 20,Ka'imi Fairbairn,0.9619990587234497,-0.0043117174735436414,-0.9474788113920589
< 20,Mason Crosby,0.9710228145122528,0.004712038315259459,0.3152478079876193
< 20,Matt Bryant,0.9663107761969933,0,-0.34412466966719696
< 20,Matt Gay,0.9663107761969933,0,-0.34412466966719696
< 20,Matt Prater,0.9663107761969933,0,-0.34412466966719696
< 20,Michael Badgley,0.9663107761969933,0,-0.34412466966719696
< 20,Nick Folk,0.958857536315918,-0.00745323988107538,-1.3870833466001447
< 20,Randy Bullock,0.9663107761969933,0,-0.34412466966719696
< 20,Robbie Gould,0.9663107761969933,0,-0.34412466966719696
< 20,Rodrigo Blankenship,0.9663107761969933,0,-0.34412466966719696
< 20,Ryan Succop,0.9821028709411621,0.01579209474416876,1.865719975504962
< 20,Sam Ficken,0.9663107761969933,0,-0.34412466966719696
< 20,Stephen Gostkowski,0.9663107761969933,0,-0.34412466966719696
< 20,Stephen Hauschka,0.9663107761969933,0,-0.34412466966719696
< 20,Tyler Bass,0.9889992475509644,0.022688471353971007,2.8307547710243703
< 20,Wil Lutz,0.9914673566818237,0.025156580484830382,3.1761261631599225
< 20,Younghoe Koo,0.9663107761969933,0,-0.34412466966719696
< 20,Zane Gonzalez,0.9663107761969933,0,-0.34412466966719696
20-29,Adam Vinatieri,0.9610169132550558,0.005098773742634122,0.20970626762312386
20-29,Aldrick Rosas,0.9664924224217732,0.010574282909351584,0.87354293748288
20-29,Austin Seibert,0.9600916981697083,0.004173558657286636,0.09753556669645738
20-29,Brandon McManus,0.9499614499509335,-0.005956689561488204,-1.1306297121201088
20-29,Brett Maher,0.9625721197379263,0.006653980225504674,0.39825550772091944
20-29,Cairo Santos,0.9554162800312043,-5.018594812173927e-4,-0.46930012159571904
20-29,Chris Boswell,0.9582419269963315,0.0023237874839098227,-0.12672594001437584
20-29,Cody Parkey,0.9707856595516204,0.014867520039198778,1.3940439817546373
20-29,Dan Bailey,0.9586514383554459,0.002733298843024201,-0.07707783449084818
20-29,Daniel Carlson,0.9599118254802845,0.00399368596786287,0.07572826375710827
20-29,Dustin Hopkins,0.9465236994955275,-0.009394440016894157,-1.5474137489357491
20-29,Graham Gano,0.9797809223333994,0.023862782820977757,2.484606540916487
20-29,Greg Zuerlein,0.9706452865349618,0.014727147022540188,1.3770255177032529
20-29,Harrison Butker,0.967718346118927,0.011800206606505381,1.0221707782629572
20-29,Jake Elliott,0.962338961660862,0.006420822148440308,0.3699880212248458
20-29,Jason Myers,0.9455695477398959,-0.010348591772525784,-1.6630926574561524
20-29,Jason Sanders,0.9545813673420956,-0.0013367721703260171,-0.5705227919056275
20-29,Joey Slye,0.9571394835199628,0.0012213440075411475,-0.2603833559328172
20-29,Josh Lambo,0.9592179616292318,0.003299822116810125,-0.008394007650767882
20-29,Justin Tucker,0.9634976318249335,0.007579492312511871,0.5104622163660869
20-29,Ka'imi Fairbairn,0.9536549837692924,-0.002263155743129297,-0.682835157250672
20-29,Mason Crosby,0.9642890776906695,0.008370938178247855,0.6064150806363182
20-29,Matt Bryant,0.944796371459961,-0.011121768052460679,-1.7568305640615092
20-29,Matt Gay,0.9468919975417001,-0.009026141970721602,-1.5027622396344482
20-29,Matt Prater,0.9659164029618968,0.009998263449475187,0.8037078174280998
20-29,Michael Badgley,0.9485158994793892,-0.00740224003303247,-1.3058845390094638
20-29,Nick Folk,0.9730183124542237,0.017100172941801994,1.6647250860482419
20-29,Randy Bullock,0.9534947946667671,-0.0024233448456545403,-0.7022560726633533
20-29,Robbie Gould,0.9604530836406507,0.004534944128229079,0.1413490131288648
20-29,Rodrigo Blankenship,0.9687750471962823,0.012856907683860608,1.1502825031948767
20-29,Ryan Succop,0.9498504479726155,-0.00606769153980613,-1.1440873069100728
20-29,Sam Ficken,0.9593851466973623,0.0034670071849406403,0.01187508066573873
20-29,Stephen Gostkowski,0.9622766137123108,0.006358474199889108,0.36242911605664785
20-29,Stephen Hauschka,0.9656468828519186,0.009728743339496915,0.7710318914419378
20-29,Tyler Bass,0.9473609566688538,-0.008557182843567879,-1.4459068393801016
20-29,Wil Lutz,0.9621074765920639,0.006189337079642199,0.341923365954564
20-29,Younghoe Koo,0.9565935174624125,6.753779499908408e-4,-0.3265748786689451
20-29,Zane Gonzalez,0.9597315589586893,0.003813419446267674,0.053873213616685116
30-39,Adam Vinatieri,0.8705512881278992,-0.002230305204946492,-0.5305651584363557
30-39,Aldrick Rosas,0.8847594323911165,0.011977839058270878,0.5473798930706497
30-39,Austin Seibert,0.8707409252723058,-0.0020406680605398186,-0.5161777467091043
30-39,Brandon McManus,0.8843406200408935,0.01155902670804787,0.5156053916249078
30-39,Brett Maher,0.893877020903996,0.02109542757115035,1.2391141010755153
30-39,Cairo Santos,0.8664948112434812,-0.0062867820893645066,-0.8383223928157303
30-39,Chris Boswell,0.8948974703487597,0.022115877015914,1.3165336717750993
30-39,Cody Parkey,0.8598573122705732,-0.012924281062272502,-1.341896894853396
30-39,Dan Bailey,0.8725292881329855,-2.523051998601922e-4,-0.38049803651928227
30-39,Daniel Carlson,0.8701987564563751,-0.00258283687647054,-0.557311070061326
30-39,Dustin Hopkins,0.8669367303018984,-0.005844863030947223,-0.8047948290915373
30-39,Graham Gano,0.8748373223675622,0.0020557290347165136,-0.2053918413836103
30-39,Greg Zuerlein,0.8946739981571833,0.02189240482433763,1.2995792589681574
30-39,Harrison Butker,0.8763223141431808,0.003540720810335185,-0.09272832203852532
30-39,Jake Elliott,0.8757563886188325,0.0029747952859868754,-0.13566402195762423
30-39,Jason Myers,0.883300289030998,0.010518695698152336,0.43667744415541637
30-39,Jason Sanders,0.8711464510244482,-0.0016351423083974526,-0.4854112743477424
30-39,Joey Slye,0.853801354765892,-0.018980238566953633,-1.8013509448244163
30-39,Josh Lambo,0.8593022402595071,-0.013479353073338585,-1.3840091592331805
30-39,Justin Tucker,0.8809683346748352,0.00818674134198949,0.25975647460462403
30-39,Ka'imi Fairbairn,0.8939523816108703,0.021170788278024655,1.244831575472473
30-39,Mason Crosby,0.8775161350214923,0.004734541688646621,-0.002155388351958689
30-39,Matt Bryant,0.8690498603714837,-0.0037317329613619776,-0.6444756445800857
30-39,Matt Gay,0.8979448676109314,0.025163274278085734,1.5477339424000376
30-39,Matt Prater,0.8791957213765099,0.006414128043664258,0.1252716539435684
30-39,Michael Badgley,0.9063535183668137,0.033571925033968,2.1856823826913816
30-39,Nick Folk,0.8571567071808709,-0.01562488615197477,-1.5467866987988401
30-39,Randy Bullock,0.8668983500936757,-0.00588324323917,-0.8077066629498587
30-39,Robbie Gould,0.8919106076161066,0.01912901428326097,1.0899260414929908
30-39,Rodrigo Blankenship,0.8880182981491089,0.015236704816263269,0.7946238787928251
30-39,Ryan Succop,0.894521951675415,0.021740358342569377,1.2880437797680029
30-39,Sam Ficken,0.8729099971907479,1.284038579022484e-4,-0.35161435985636047
30-39,Stephen Gostkowski,0.8754928497707143,0.0027112564378686255,-0.1556582162694291
30-39,Stephen Hauschka,0.8653361052274704,-0.007445488105375264,-0.9262312282675008
30-39,Tyler Bass,0.8515132814645767,-0.02126831186826894,-1.9749427416802026
30-39,Wil Lutz,0.881313626964887,0.008532033632041358,0.28595314803990973
30-39,Younghoe Koo,0.8835149678316984,0.010733374498852699,0.4529647190163216
30-39,Zane Gonzalez,0.888801122412962,0.01601952908011639,0.8540152761341836
40-49,Adam Vinatieri,0.668620681220835,-0.03602097239330471,-1.1109778099327026
40-49,Aldrick Rosas,0.7518875267770555,0.04724587316291584,2.3209268460674815
40-49,Austin Seibert,0.6583606089864459,-0.04628104462769378,-1.5338542793952537
40-49,Brandon McManus,0.6955055785179138,-0.009136075096225826,-0.0028968733535108407
40-49,Brett Maher,0.6971372686899625,-0.007504384924177154,0.06435444451732976
40-49,Cairo Santos,0.7064478874206543,0.0018062338065146788,0.44809848524155205
40-49,Chris Boswell,0.6973535716533661,-0.007288081960773574,0.07326953121543428
40-49,Cody Parkey,0.7167150041331416,0.012073350519001935,0.8712652980817437
40-49,Dan Bailey,0.6790771305561065,-0.02556452305803314,-0.6800075129407367
40-49,Daniel Carlson,0.6783858275413513,-0.026255826072788313,-0.7085000782492589
40-49,Dustin Hopkins,0.6822082887996327,-0.022433364814506973,-0.5509545089167597
40-49,Graham Gano,0.7059939274421105,0.0013522738279708735,0.4293881888012921
40-49,Greg Zuerlein,0.6772557411875043,-0.02738591242663535,-0.7550774235725102
40-49,Harrison Butker,0.6947202164193859,-0.009921437194753802,-0.03526615340224783
40-49,Jake Elliott,0.6952885862659005,-0.009353067348239152,-0.011840369591730779
40-49,Jason Myers,0.6975665467756765,-0.00707510683846313,0.08204745848032534
40-49,Jason Sanders,0.645993468062631,-0.058648185551508636,-2.043575144096365
40-49,Joey Slye,0.6619527657826741,-0.042688887831465516,-1.3858008788886278
40-49,Josh Lambo,0.7107960948577294,0.00615444124358977,0.6273130723784827
40-49,Justin Tucker,0.684486848967416,-0.0201548046467237,-0.45704196549619547
40-49,Ka'imi Fairbairn,0.6867388348494258,-0.01790281876471389,-0.3642247009284161
40-49,Mason Crosby,0.7288196708845056,0.024178017270365948,1.3701680955377635
40-49,Matt Bryant,0.6923447668552398,-0.012296886758899839,-0.13317206499081724
40-49,Matt Gay,0.7238150052726269,0.019173351658487214,1.1638970989556487
40-49,Matt Prater,0.6888327880909568,-0.015808865523182836,-0.27792086858010095
40-49,Michael Badgley,0.6958962020774683,-0.00874545153667139,0.013202965709962464
40-49,Nick Folk,0.69837619860967,-0.006265455004469622,0.11541785795036777
40-49,Randy Bullock,0.6791718051983759,-0.02546984841576372,-0.6761054275015783
40-49,Robbie Gould,0.7127587671081225,0.008117113493982808,0.7082060615307905
40-49,Rodrigo Blankenship,0.7541782081127166,0.04953655449857697,2.4153389723916407
40-49,Ryan Succop,0.6953402327166663,-0.009301420897473323,-0.009711722905704202
40-49,Sam Ficken,0.6886857032775879,-0.015955950336551727,-0.2839830780039802
40-49,Stephen Gostkowski,0.7006446894477395,-0.003996964166400163,0.20891538649560193
40-49,Stephen Hauschka,0.6887951598447912,-0.015846493769348435,-0.279471744590237
40-49,Tyler Bass,0.6568563495363507,-0.047785304077788915,-1.5958534457636753
40-49,Wil Lutz,0.7440405897796154,0.03939893616547574,1.9975095310849884
40-49,Younghoe Koo,0.7151448268156785,0.010503173201538818,0.8065492780313722
40-49,Zane Gonzalez,0.6756894682583056,-0.028952185355834104,-0.8196325213713684
50+,Adam Vinatieri,0.5413108468055725,-0.007065826993271962,0.02445658744269594
50+,Aldrick Rosas,0.5673687126901414,0.01899203889129697,0.8475648489817572
50+,Austin Seibert,0.5415080388387045,-0.006868634960140008,0.03068543182694437
50+,Brandon McManus,0.548420270284017,4.359648517249237e-5,0.2490269811123004
50+,Brett Maher,0.49290079517023905,-0.055475878628605424,-1.5047059932186824
50+,Cairo Santos,0.5845636824766794,0.036187008677834975,1.3907145355643167
50+,Chris Boswell,0.5421267375349998,-0.006249936263844624,0.05022870565374498
50+,Cody Parkey,0.6032218337059021,0.05484515990705763,1.9800827704708037
50+,Dan Bailey,0.5433752338091532,-0.00500143998969127,0.08966584153849601
50+,Daniel Carlson,0.6006311093057904,0.05225443550694597,1.8982477243258493
50+,Dustin Hopkins,0.5591189129786058,0.01074223917976136,0.586972583725348
50+,Graham Gano,0.5085006696837289,-0.039876004115115604,-1.0119417105292854
50+,Greg Zuerlein,0.5240302927353803,-0.024346381063464206,-0.5213965105107624
50+,Harrison Butker,0.4906881660223007,-0.057688507776543774,-1.5745978769000968
50+,Jake Elliott,0.5506531546513239,0.0022764808524794455,0.3195586807508403
50+,Jason Myers,0.5157757320187308,-0.032600941780113635,-0.7821391650070186
50+,Jason Sanders,0.5281777450671563,-0.02019892873168816,-0.390387996853245
50+,Joey Slye,0.5207790090487554,-0.027597664750089068,-0.6240971105876428
50+,Josh Lambo,0.557707604765892,0.009330930967047513,0.5423925918484763
50+,Justin Tucker,0.4860926220814387,-0.06228405171740575,-1.7197605775120945
50+,Ka'imi Fairbairn,0.5500099261601766,0.0016332523613321603,0.2992405669242524
50+,Mason Crosby,0.5669064521789551,0.018529778380110606,0.8329630988834852
50+,Matt Bryant,0.5554380863904953,0.007061412591650829,0.4707037078554876
50+,Matt Gay,0.533763449639082,-0.014613224159762517,-0.21394839124489953
50+,Matt Prater,0.5243136246999105,-0.024063049098933975,-0.5124467031168641
50+,Michael Badgley,0.5215020477771759,-0.02687462602166857,-0.6012579742818549
50+,Nick Folk,0.6188583821058273,0.07048170830698286,2.4740054971801926
50+,Randy Bullock,0.5425709386666616,-0.005805735132182854,0.06426000134294112
50+,Robbie Gould,0.5344418783982595,-0.013934795400584954,-0.1925183816263669
50+,Rodrigo Blankenship,0.55584384004275,0.007467166243905532,0.48352053578759663
50+,Ryan Succop,0.516884446144104,-0.03149222765474047,-0.7471174268369665
50+,Sam Ficken,0.5250839335577828,-0.02329274024106165,-0.48811441175961595
50+,Stephen Gostkowski,0.5492204175545619,8.437437557173855e-4,0.27430179953952427
50+,Stephen Hauschka,0.5215224840424277,-0.026854189756416735,-0.6006124395002154
50+,Tyler Bass,0.4742834617694219,-0.0740932120294226,-2.0927848864758007
50+,Wil Lutz,0.5357294082641602,-0.012647265534684315,-0.15184826403900611
50+,Younghoe Koo,0.5836924569947379,0.03531578319589346,1.3631945193424941
50+,Zane Gonzalez,0.5233745098114013,-0.02500216398744315,-0.5421111900971272
